Code_No,Num,Family,TaxonName,EndangeredSpecies,RarePlants,ExoticPlants,KoreanEndemicPlants,ClimateSensitiveBiologicalIndicatorSpecies,KoreanRedListOfThreatenedSpecies,BiologicalResourcesSubjectToTheApprovalOfOutboundTransfer,FloristicTargetSpecies,PlantsAdaptableToClimateChange,Native_NABI,Cultivated_NABI,Naturalized_NABI
6205,982,Elaeocarpaceae,Elaeocarpus sylvestris (Lour.) Poir. var. ellipticus (Thunb.) H. Hara,,EN,,,,NT,1,Ⅳ,,1,1,
12123,985,Oxalidaceae,Oxalis acetosella L. var. rosea Peterm.,,,,,,,,,,,1,
20219,987,Oxalidaceae,Oxalis bowiei W. T. Aiton ex G. Don,,,PIP (CAP),,,,,,,,1,
12127,988,Oxalidaceae,Oxalis corniculata L.,,,Arc.,,,,,,,,1,1
12139,993,Oxalidaceae,Oxalis triangularis A. St.-Hil. subsp. papilionacea (Hoffmanns. ex Zucc.) Lourteig,,,,,,,,,,,1,
6739,1009,Euphorbiaceae,Euphorbia hypericifolia L.,,,IAP (NP),,,,,,,,1,1
6750,1015,Euphorbiaceae,Euphorbia marginata Pursh,,,PIP (CAP),,,,,,,,1,
6753,1016,Euphorbiaceae,Euphorbia milii Des Moul.,,,,,,,,,,,1,
6777,1022,Euphorbiaceae,Euphorbia pulcherrima Willd. ex Klotzsch,,,,,,,,,,,1,
14779,1029,Euphorbiaceae,Ricinus communis L.,,,PIP (CAP),,,,,,,,1,
16910,1030,Euphorbiaceae,Triadica sebifera (L.) Small,,,,,,,,,,,1,
17256,1031,Euphorbiaceae,Vernicia fordii (Hemsl.) Airy Shaw,,,PIP (CAP),,,,,,,,1,
17258,1032,Euphorbiaceae,Vernicia montana Lour.,,,,,,,,,,,1,
8881,1040,Hypericaceae,Hypericum galioides Lam.,,,,,,,,,,,1,
8896,1045,Hypericaceae,Hypericum patulum Thunb.,,,,,,,,,,,1,
10542,1050,Linaceae,Linum usitatissimum L.,,,PIP (CAP),,,,,,,,1,
12358,1052,Passifloraceae,Passiflora caerulea L.,,,,,,,,,,,1,
13483,1060,Salicaceae,Populus alba L.,,,PIP (CAP),,,,,,,,1,
13484,1061,Salicaceae,Populus cathayana Rehder,,,,,,,,,,,1,
13489,1065,Salicaceae,Populus deltoides W. Bartram ex Marshall,,,,,,,,,,,1,
13500,1070,Salicaceae,Populus nigra L. var. italica Koehne,,,PIP (CAP),,,,,,,,1,
13502,1071,Salicaceae,Populus sieboldii Miq.,,,,,,,,,,,1,
20251,1073,Salicaceae,Populus × canadensis Moench,,,PIP (CAP),,,,,,,,1,1
13482,1074,Salicaceae,Populus × tomentiglandulosa T. B. Lee,,,,1,,,1,,,1,1,
15097,1075,Salicaceae,Salix babylonica L.,,,Arc.,,,,,,,,1,1
15131,1093,Salicaceae,Salix humilis Marshall,,,,,,,,,,,1,
15142,1100,Salicaceae,Salix matsudana Koidz. forma tortuosa Vilm. ex Rehder,,,PIP (CAP),,,,,,,,1,
15152,1105,Salicaceae,Salix purpurea L.,,,,,,,,,,,1,
15154,1106,Salicaceae,Salix purpurea L. var. lambertiana (Sm.) W. D. J. Koch,,,,,,,,,,,1,
15161,1111,Salicaceae,Salix sachalinensis F. Schmidt,,,,,,,,,,,1,
17756,1126,Salicaceae,Xylosma congesta (Lour.) Merr.,,,,,,,,Ⅲ,,1,1,
17563,1165,Violaceae,Viola papilionacea Pursh,,,IAP (NP),,,,,,,,1,1
17592,1181,Violaceae,Viola tricolor L.,,,,,,,,,,,1,
17608,1193,Violaceae,Viola × wittrockiana Gams,,,,,,,,,,,1,
76,1194,Fabaceae,Acacia retinodes Schltdl.,,,,,,,,,,,1,
786,1196,Fabaceae,Albizia julibrissin Durazz.,,,,,,,1,,,1,1,
789,1197,Fabaceae,Albizia julibrissin Durazz. var. rosea (Carrière) Mouillefert,,,,,,,,,,,1,
1054,1200,Fabaceae,Amorpha brachycarpa E. J. Palmer,,,,,,,,,,,1,
1055,1201,Fabaceae,Amorpha canescens Pursh,,,PIP (CAP),,,,,,,,1,
1056,1202,Fabaceae,Amorpha fruticosa L.,,,IAP (NP),,,,,,,,1,1
1389,1204,Fabaceae,Arachis hypogaea L.,,,,,,,,,,,1,
20048,1209,Fabaceae,Astragalus mongholicus Bunge var. dahuricus (DC.) Podlech,cancel,,,,,,1,,,1,1,
1955,1214,Fabaceae,Astragalus sinicus L.,,,IAP (NP),,,,,,,,1,1
3139,1219,Fabaceae,Canavalia ensiformis (L.) DC.,,,,,,,,,,,1,
3141,1220,Fabaceae,Canavalia gladiata (Jacq.) DC.,,,,,,,,,,,1,
3170,1224,Fabaceae,Caragana sinica (Buc'hoz) Rehder,,,PIP (UN),,,,,,,,1,
3880,1226,Fabaceae,Cercis canadensis L.,,,,,,,,,,,1,
3876,1227,Fabaceae,Cercis canadensis L. forma alba Rehder,,,,,,,,,,,1,
3884,1228,Fabaceae,Cercis chinensis Bunge,,,PIP (UN),,,,,,,,1,
3885,1229,Fabaceae,Cercis chinensis Bunge forma alba S. C. Hsu,,,,,,,,,,,1,
